what's the word for trees in norway	translate
what would the word for grass be in finland	translate
what's the spanish word for pasta	translate
what's the spanish word for dog	translate
english to spanish for dog	translate
repeat what the weather will be like	transfer
i would like help moving money between accounts	transfer
can i move some money around	transfer
i would like to distribute some money between my accounts	transfer
can i move some money between my two accounts	transfer
who set up the numbers for it	timer
let me know when it's been 5 minutes	timer
please begin a timer	timer
start the timer now	timer
will you create a timer for me	timer
i heard some woman say she was going to yerd me, what's that mean	definition
define antebellum	definition
define discontent	definition
define epicurean	definition
please explain the word catastrophic to me	definition
is there a reason beyond biology about why humans are alive	meaning_of_life
what is the reason humans even exist	meaning_of_life
what's the answer to it all	meaning_of_life
is there any consensun regarding lifes true meaning	meaning_of_life
do you think being alive has any meaning	meaning_of_life
how do i sign up for a new allstatedplan	insurance_change
what is the procedure for signing up for a new allstate plan	insurance_change
how to i change the policy on my insurace	insurance_change
i need to sign up for a new allstate plan	insurance_change
phone number to state farm to change insurance	insurance_change
locate my cellphone in this room	find_phone
help, i've lost my cellphone!	find_phone
can you help me hunt for my missing cellphone	find_phone
i think i've misplaced my phone	find_phone
is my phone somewhere around here	find_phone
safety concerns for malaysia	travel_alert
does the state department say anything about traveling to haiti	travel_alert
would i be safe if i traveled to japan	travel_alert
am i safe to go to africa	travel_alert
will i be safe going to south america	travel_alert
can i purchase a vacation using this	pto_request
how do i get help with a vacation itinerary	pto_request
how do i plan a vacation	pto_request
can you help me plan a vacation	pto_request
what do i do to set up a vacation	pto_request
will only having five late payments really make my credit bad	improve_credit_score
i have a revolving store card and defaulted so will my fico score be affected	improve_credit_score
will my fico score decrease if i increase my student loan debt	improve_credit_score
can i hurt my credit rating if i open several credit cards in a short time frame	improve_credit_score
what steps should i take if i want to ensure my credit score doesn't drop	improve_credit_score
i want to hear cool bee facts	fun_fact
tell me fun facts on science topics	fun_fact
i need interesting baseball trivia from the nineteen eighties	fun_fact
i wanna hear something cool about bees	fun_fact
tell me fun science facts	fun_fact
i'd like to use you using russian	change_language
speak in dutch	change_language
please can we speak in dutch	change_language
i'd like to speak in portuguese	change_language
i want to start talking to you in swedish	change_language
what day can i expect to receive payment on	payday
what day will i earn my payment from work	payday
is it payday	payday
when will my payment be deposited	payday
what day is payday	payday
can credit card companies expedite delivery of reissued credit cards	replacement_card_duration
can you call the help desk line for my credit card company	replacement_card_duration
what is the shipping wait for my card	replacement_card_duration
what is the shipping time for my card	replacement_card_duration
what's the phone number for my credit card company	replacement_card_duration
is it six o clock yet	time
is it after noon	time
tell time for another city: dallas	time
whats the exact time	time
tell me the time in san francisco, please	time
let me know if my application for american saving bank	application_status
has my mastercard application gone through the process	application_status
can you please let me know the status of my capital one application	application_status
how far has my application for the hsbc card gone till now	application_status
has my application for american express gone through yet	application_status
when is boarding scheduled	flight_status
what time is boarding scheduled	flight_status
what's up with my american airline flight will it be on time	flight_status
is my spirit flight running on time	flight_status
has flight dl123 landed	flight_status
throw a coin in the air	flip_coin
give me a coin toss result	flip_coin
just toss a coin	flip_coin
give me the results of a coin flip	flip_coin
flip a coin into the air	flip_coin
ai answer my questions with my name first which is deb	change_user_name
i want to be called timothy	change_user_name
start calling me jake from now on	change_user_name
please switch my name	change_user_name
please go ahead and change my name	change_user_name
a hidden government facility	where_are_you_from
are you from here or somewhere else originally	where_are_you_from
are you from around here	where_are_you_from
what's your home country	where_are_you_from
what is your origin	where_are_you_from
i don't need eggs anymore, but i do need milk	shopping_list_update
include asparagus on the list	shopping_list_update
the list should also have 2 loaves of bread	shopping_list_update
tack on a gallon of milk to the grocery list	shopping_list_update
make sure to put eggs on the grocery list	shopping_list_update
what knowledge do you have on certain subjects	what_can_i_ask_you
what can you do to make yourself useful	what_can_i_ask_you
which subjects are you the most experienced with	what_can_i_ask_you
what are you programmed to do for me	what_can_i_ask_you
what would you be able to do with me	what_can_i_ask_you
undecided	maybe
i am unable to say	maybe
unsure	maybe
i can't say	maybe
might	maybe
give me step by step instructions for changing my oil	oil_change_how
walk me through the steps involved in changing my oil	oil_change_how
i need guidance on changing my oil	oil_change_how
i want a step by step explanation of how to change the oil in my car	oil_change_how
diy oil change	oil_change_how
are there any open reservations at outback tonight	restaurant_reservation
i want to eat at seven in the restaurant for two people	restaurant_reservation
reservations for two need to be made using michael's name for 7:00pm at olive garden	restaurant_reservation
make a reservation for chik-fil-a at 3 o' clock please	restaurant_reservation
a table for two needs to be reserved for 7:00pm at olive garden using the name michael	restaurant_reservation
what are my coffers at	balance
what's my checking look like	balance
check my wells fargo account to see if i have enough for these nike's	balance
whats my bank accounts look like	balance
i want some nike's, is there enough in my wells fargo account	balance
tell me whether or not i have a reservation at gramercy tavern for tad	confirm_reservation
are there reservation for joe and will	confirm_reservation
verify my reservation for smith and wollensky at 6:45	confirm_reservation
do we know if my reservation for john at bardenay was accepted	confirm_reservation
"let's try and confirm my reservation for bubble bar under ""franklin"	confirm_reservation
block my american saving bank for now	freeze_account
i want my account locked out	freeze_account
my account needs to be frozen	freeze_account
i need to lock my account right now!	freeze_account
block my bank of america immdediately	freeze_account
can 401ks be moved	rollover_401k
how do i do a 401(k) rollover	rollover_401k
can i move my 401k to an ira	rollover_401k
how do i switch 401k companies	rollover_401k
i heard i can transfer my 401k, but don't know how, do you	rollover_401k
i wanna know your maker	who_made_you
name the person or group that programmed you	who_made_you
what company designed this	who_made_you
for this design, what company did it	who_made_you
what company did this design	who_made_you
when will i arrive at hy-vee	distance
give me an eta on when i will arrive at my destination	distance
am i close to arriving at the post office	distance
how much farther is orlando from my location	distance
how far am i from orlando	distance
what's your designation	user_name
what do i go by	user_name
what do you think i'm called	user_name
you know me by what right now	user_name
what's my name on file	user_name
does denver reside in the eastern timezones	timezone
i need la's time zone	timezone
i need the time zone for la	timezone
can you tell me the time zone for la	timezone
in which time zone does denver reside	timezone
could you hit next	next_song
skip this track	next_song
move forward one song	next_song
go to upcoming song	next_song
next track	next_song
what have i spent things on	transactions
is my visa bill over my limit this month	transactions
when did i last make a purchase	transactions
how much was my last target trip	transactions
how much have i spent on my debit card this month	transactions
could you suggest a french restaurant, please	restaurant_suggestion
pull up some recommendations for places serving fish in maine	restaurant_suggestion
i need reviews for places serving tacos in chicago	restaurant_suggestion
can you suggest a french restaurant, please	restaurant_suggestion
can you suggest a french restaurant	restaurant_suggestion
what is the updated points that i earned with synovus card	rewards_balance
give me the point total on my visa card	rewards_balance
can you pull up how many points i've earned with travel card	rewards_balance
i gotta know how many points i have gotten with my debit card	rewards_balance
what do my visa points look like	rewards_balance
i have a car payment that needs to be paid	pay_bill
i need a hand getting this gas bill paid	pay_bill
today my electric bill will be paid, or should be	pay_bill
i need some assistance paying my utilities bill	pay_bill
my electric bill should be paid today	pay_bill
do i overspend when it comes to fast food	spending_history
have i gone over my entertainment budget	spending_history
did i stick to my dinner budget	spending_history
have i gone over my chocolate budget lately	spending_history
what are my finances like lately	spending_history
when will i hear back about my days off	pto_request_status
am i okay to take those vacation days	pto_request_status
when will my vacation time be confirmed	pto_request_status
did the manager approve my vacation yet	pto_request_status
