Is there tracking info available?	card_arrival
I've been waiting longer than expected for my card.	card_arrival
How do I locate my card?	card_arrival
Status of the card I ordered.	card_arrival
How long does a card delivery take?	card_arrival
I ordered a card but it has not arrived. Help please!	card_arrival
I think something went wrong with my card delivery as I haven't received it yet.	card_arrival
"I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?"	card_arrival
I am still waiting for my card after 1 week.  Is this ok?	card_arrival
How do I know when my card will arrive?	card_arrival
Is there a way to make my old card usable with the app?	card_linking
"I already have one of your cards, how do I link them?"	card_linking
Can you tell me how to link one of your cards that I already have?	card_linking
Why won't my card show up on the app?	card_linking
Can I link an existing card?	card_linking
The app doesn't show the card I received.	card_linking
How do I link one your card if I have one already?	card_linking
Where do I need to go in the app to enter my card info?	card_linking
"I have one of your cards already, how do I link it?"	card_linking
I would like to reactivate my card.	card_linking
when does the rate get determined	exchange_rate
Is it a good time to exchange?	exchange_rate
I'm trying to figure out the current exchange rate.	exchange_rate
What currencies is an exchange rate calculated in?	exchange_rate
Can you explain your exchange rate policy to me?	exchange_rate
Please advise what is the exchange rate	exchange_rate
Where did your guys exchange rates come from?	exchange_rate
Do you have a list of exchange rates?	exchange_rate
Will I get a curreng foreign exchange rate?	exchange_rate
How much will I get with the exchange rate?	exchange_rate
Why am I being charged more ?	card_payment_wrong_exchange_rate
the conversion value for my card payments is incorrect.	card_payment_wrong_exchange_rate
I made a currency exchange and think I was charged more than I should of been.	card_payment_wrong_exchange_rate
I'm pretty sure something went wrong with my exchange. I changed Russian Ruble to UK pounds and was charged way too much!	card_payment_wrong_exchange_rate
My exchange went wrong. I swapped Russian Ruble for UK pounds and was charged too much.	card_payment_wrong_exchange_rate
They charged me wrong for a currency exchange on a purchase.	card_payment_wrong_exchange_rate
"The exchange rate given to me wasn't correct, after i purchased an item"	card_payment_wrong_exchange_rate
The incorrect rate was used in my foreign purchase	card_payment_wrong_exchange_rate
"Hi, I have been overcharged for my payment last Saturday. I guess exchange rate was wrong."	card_payment_wrong_exchange_rate
"Hi, I don't think your exchange rate is right. I need you to check the official interbank exchange please."	card_payment_wrong_exchange_rate
When will the $1 transaction be credited to me?	extra_charge_on_statement
"It's been two weeks, why has the transaction for $1.00 not been reversed?"	extra_charge_on_statement
Where did this 1 euro fee come from?	extra_charge_on_statement
Where did this fee come from?	extra_charge_on_statement
Can you explain what this random $1 charge is?	extra_charge_on_statement
Why was I overcharged a pound!?	extra_charge_on_statement
What is the €1 fee for?	extra_charge_on_statement
"Can you help me with a weird charge?  It's a pound charge that never goes away from the statement view on the app I'm using.  It's not described as anything but ""Pending"", and that status has never changed during the last two days."	extra_charge_on_statement
There is a transaction for $1 and I don't know why it was charged.	extra_charge_on_statement
Why are there so many fees on my statement?	extra_charge_on_statement
how long til my cash out goes through?	pending_cash_withdrawal
My account was charged for a withdraw I tried to make that was decline.	pending_cash_withdrawal
how long does it take to post atm with drawl	pending_cash_withdrawal
Are you sure when the withdrawal will show?	pending_cash_withdrawal
I made a withdrawal from my account but it has not posted?	pending_cash_withdrawal
"I tried to take money from my card, but it didn't work. Later I saw that the transaction is still in progress. What's goign on?"	pending_cash_withdrawal
"Hey, my card was declined at an ATM in the city centre theatre. My account says the transaction is pending, though. I didn't get the money, though, so what does that mean?"	pending_cash_withdrawal
"Hey I tried to get some money out earlier but the machine didn't work. Now just saw the transaction still seems in progress! Can you please check what's going there, seems something is broken, I don't want to be charged for money that I haven't actually received!"	pending_cash_withdrawal
My withdrawl is still pending.  Why?	pending_cash_withdrawal
I made a cash withdrawal but the pending status is taking forever.	pending_cash_withdrawal
"There is an incoming payment into my account, but it is deactivated. Will they still be processed?"	fiat_currency_support
How do I accept exchanges to EU?	fiat_currency_support
Do you offer additional currency options?	fiat_currency_support
I want to make a currency exchange to EU.	fiat_currency_support
Does your system support multiple currency.	fiat_currency_support
Will you handle EUR?	fiat_currency_support
Do you support any currency?	fiat_currency_support
Do you happen to do exchanges of EUR?	fiat_currency_support
Besides USD what other currencies can I have?	fiat_currency_support
What countries can I travel to and have access to their currencies?	fiat_currency_support
my card was not in the mail again can you advise?	card_delivery_estimate
i need my card quick	card_delivery_estimate
What is the difference between standard and express delivery?	card_delivery_estimate
How fast can you deliver?	card_delivery_estimate
Can I get my card expedited?	card_delivery_estimate
"Ordered awhile back, what is the ETA in the US?"	card_delivery_estimate
I need my card quickly	card_delivery_estimate
Send my card as soon as you are able to.	card_delivery_estimate
Whats the delivery time to the United States?	card_delivery_estimate
I need my card as soon as possible.	card_delivery_estimate
Can I space out how often money is transferred along my travels?	automatic_top_up
How do I make sure I don't run out of money on my card while traveling?	automatic_top_up
Can I be topped up once I hit a certain balance?	automatic_top_up
Can I have it add money at certain time intervals when I travel?	automatic_top_up
"I'm going to be away for awhile, can I have it add money automatically in certain intervals?"	automatic_top_up
"Is there a top-up feature, if there isn't a lot of money left?"	automatic_top_up
Can I have it add money automatically in certain intervals?	automatic_top_up
